Word,Type,Category
can,Hedge,Modal verb
could,Hedge,Modal verb
may,Hedge,Modal verb
might,Hedge,Modal verb
should,Hedge,Modal verb
will,Hedge,Modal verb
would,Hedge,Modal verb
can't,Booster,Modal verb
cannot,Booster,Modal verb
couldn't,Booster,Modal verb
could not,Booster,Modal verb
have to,Booster,Modal verb
must,Booster,Modal verb
will,Booster,Modal verb
won't,Booster,Modal verb
will not,Booster,Modal verb
would not,Booster,Modal verb
wouldn't,Booster,Modal verb
appear,Hedge,Lexical verb
appears,Hedge,Lexical verb
appearing,Hedge,Lexical verb
appeared,Hedge,Lexical verb
has appeared,Hedge,Lexical verb
have appeared,Hedge,Lexical verb
had appeared,Hedge,Lexical verb
argue,Hedge,Lexical verb
argues,Hedge,Lexical verb
arguing,Hedge,Lexical verb
argued,Hedge,Lexical verb
has argued,Hedge,Lexical verb
have argued,Hedge,Lexical verb
had argued,Hedge,Lexical verb
assert,Hedge,Lexical verb
asserts,Hedge,Lexical verb
asserting,Hedge,Lexical verb
asserted,Hedge,Lexical verb
has asserted,Hedge,Lexical verb
have asserted,Hedge,Lexical verb
had asserted,Hedge,Lexical verb
assume,Hedge,Lexical verb
assumes,Hedge,Lexical verb
assuming,Hedge,Lexical verb
assumed,Hedge,Lexical verb
has assumed,Hedge,Lexical verb
have assumed,Hedge,Lexical verb
had assumed,Hedge,Lexical verb
attempt,Hedge,Lexical verb
attempts,Hedge,Lexical verb
attempting,Hedge,Lexical verb
attempted,Hedge,Lexical verb
has attempted,Hedge,Lexical verb
have attempted,Hedge,Lexical verb
had attempted,Hedge,Lexical verb
believe,Hedge,Lexical verb
believes,Hedge,Lexical verb
believing,Hedge,Lexical verb
believed,Hedge,Lexical verb
has believed,Hedge,Lexical verb
have believed,Hedge,Lexical verb
had believed,Hedge,Lexical verb
claim,Hedge,Lexical verb
claims,Hedge,Lexical verb
claiming,Hedge,Lexical verb
claimed,Hedge,Lexical verb
has claimed,Hedge,Lexical verb
have claimed,Hedge,Lexical verb
had claimed,Hedge,Lexical verb
conclude,Hedge,Lexical verb
concludes,Hedge,Lexical verb
concluding,Hedge,Lexical verb
concluded,Hedge,Lexical verb
has concluded,Hedge,Lexical verb
have concluded,Hedge,Lexical verb
had concluded,Hedge,Lexical verb
consider,Hedge,Lexical verb
considers,Hedge,Lexical verb
considering,Hedge,Lexical verb
considered,Hedge,Lexical verb
has considered,Hedge,Lexical verb
have considered,Hedge,Lexical verb
had considered,Hedge,Lexical verb
doubt,Hedge,Lexical verb
doubts,Hedge,Lexical verb
doubting,Hedge,Lexical verb
doubted,Hedge,Lexical verb
has doubted,Hedge,Lexical verb
have doubted,Hedge,Lexical verb
had doubted,Hedge,Lexical verb
estimate,Hedge,Lexical verb
estimates,Hedge,Lexical verb
estimating,Hedge,Lexical verb
estimated,Hedge,Lexical verb
has estimated,Hedge,Lexical verb
have estimated,Hedge,Lexical verb
had estimated,Hedge,Lexical verb
evaluate,Hedge,Lexical verb
evaluates,Hedge,Lexical verb
evaluating,Hedge,Lexical verb
evaluated,Hedge,Lexical verb
has evaluated,Hedge,Lexical verb
have evaluated,Hedge,Lexical verb
had evaluated,Hedge,Lexical verb
expect,Hedge,Lexical verb
expects,Hedge,Lexical verb
expecting,Hedge,Lexical verb
expected,Hedge,Lexical verb
has expected,Hedge,Lexical verb
have expected,Hedge,Lexical verb
had expected,Hedge,Lexical verb
feel,Hedge,Lexical verb
feels,Hedge,Lexical verb
feeling,Hedge,Lexical verb
felt,Hedge,Lexical verb
has felt,Hedge,Lexical verb
have felt,Hedge,Lexical verb
had felt,Hedge,Lexical verb
hypothesize,Hedge,Lexical verb
hypothesizes,Hedge,Lexical verb
hypothesizing,Hedge,Lexical verb
hypothesized,Hedge,Lexical verb
has hypothesized,Hedge,Lexical verb
have hypothesized,Hedge,Lexical verb
had hypothesized,Hedge,Lexical verb
imply,Hedge,Lexical verb
implies,Hedge,Lexical verb
implying,Hedge,Lexical verb
implied,Hedge,Lexical verb
has implied,Hedge,Lexical verb
have implied,Hedge,Lexical verb
had implied,Hedge,Lexical verb
indicate,Hedge,Lexical verb
indicates,Hedge,Lexical verb
indicating,Hedge,Lexical verb
indicated,Hedge,Lexical verb
has indicated,Hedge,Lexical verb
have indicated,Hedge,Lexical verb
had indicated,Hedge,Lexical verb
interpret,Hedge,Lexical verb
interprets,Hedge,Lexical verb
interpreting,Hedge,Lexical verb
interpreted,Hedge,Lexical verb
has interpreted,Hedge,Lexical verb
have interpreted,Hedge,Lexical verb
had interpreted,Hedge,Lexical verb
maintain,Hedge,Lexical verb
maintains,Hedge,Lexical verb
maintaining,Hedge,Lexical verb
maintained,Hedge,Lexical verb
has maintained,Hedge,Lexical verb
have maintained,Hedge,Lexical verb
had maintained,Hedge,Lexical verb
note,Hedge,Lexical verb
notes,Hedge,Lexical verb
noting,Hedge,Lexical verb
noted,Hedge,Lexical verb
has noted,Hedge,Lexical verb
have noted,Hedge,Lexical verb
had noted,Hedge,Lexical verb
offer,Hedge,Lexical verb
offers,Hedge,Lexical verb
offering,Hedge,Lexical verb
offered,Hedge,Lexical verb
has offered,Hedge,Lexical verb
have offered,Hedge,Lexical verb
had offered,Hedge,Lexical verb
observe,Hedge,Lexical verb
observes,Hedge,Lexical verb
observing,Hedge,Lexical verb
observed,Hedge,Lexical verb
has observed,Hedge,Lexical verb
have observed,Hedge,Lexical verb
had observed,Hedge,Lexical verb
perceive,Hedge,Lexical verb
perceives,Hedge,Lexical verb
perceiving,Hedge,Lexical verb
perceived,Hedge,Lexical verb
has perceived,Hedge,Lexical verb
have perceived,Hedge,Lexical verb
had perceived,Hedge,Lexical verb
presume,Hedge,Lexical verb
presumes,Hedge,Lexical verb
presuming,Hedge,Lexical verb
presumed,Hedge,Lexical verb
has presumed,Hedge,Lexical verb
have presumed,Hedge,Lexical verb
had presumed,Hedge,Lexical verb
propose,Hedge,Lexical verb
proposes,Hedge,Lexical verb
proposing,Hedge,Lexical verb
proposed,Hedge,Lexical verb
has proposed,Hedge,Lexical verb
have proposed,Hedge,Lexical verb
had proposed,Hedge,Lexical verb
prove,Booster,Lexical verb
proves,Booster,Lexical verb
proving,Booster,Lexical verb
proved,Booster,Lexical verb
proven,Booster,Lexical verb
has proven,Booster,Lexical verb
have proven,Booster,Lexical verb
had proven,Booster,Lexical verb
report,Hedge,Lexical verb
reports,Hedge,Lexical verb
reporting,Hedge,Lexical verb
