"Year","Paper","Location","Sentence"
2010,"p1927-lampe","Abstract","We find evidence that users may continue to participate in a site for different reasons than those that led them to the site."
2010,"p1927-lampe","Abstract","Feelings of belonging to a site are important for both anonymous and registered users across different types of uses."
2010,"p1927-lampe","Abstract","Long-term users felt more dissatisfied with the site than anonymous users."
2010,"p1927-lampe","Abstract","Social and cognitive factors seem to be more important than issues of usability in predicting contribution to the site."
2016,"p1312-friedberg","Abstract","In contrast to traditional designers, green designers appear to: (1) Bias decisions (2) Design from a deep, personal ethos; (3) Accept ‘not knowing’ as a part of the design process; (4) Rely on alternative ways of knowing, and; (5) Shift roles as needed throughout the design process."
2016,"p1312-friedberg","Abstract","While a superficial treatment of these differences might seem to disenfranchise green designers, we show that an analysis of green design as a discursive practice highlights how, through engagement with others, green design can enhance pro-environmental dialog and enact meaningful change."
2018,"paper171","Abstract","The model describes how tracker goals can evolve from internal user needs through qualitative goals to quantitative goals that can be used with trackers."
2018,"paper171","Abstract","It also includes trust and reflection as key contextual factors contributing to meaningful transitions between goals."
2018,"paper171","Abstract","We postulate showing how tracker goals relate to other personal fitness goals as key for long-term engagement with trackers."
2018,"paper171","Abstract","Our model is useful for designers of future trackers as a tool to create evolving and meaningful tracking goals."
2012,"p2107","Abstract","Four major categories emerged: Physical presentation, Content, Information Architecture and Interactivity."
2012,"p2107","Abstract","Each major category had between 5 and 16 sub-categories."
2012,"p2107","Abstract","This allowed us to develop an evidence based set of 21 heuristics to assist in the development and evaluation of interactive websites."
2014,"p3695","Abstract","While the aim was to identify cues, these cues also proved surprisingly accurate indicators of personality."
2014,"p3695","Abstract","We demonstrate that Conscientiousness predicts file organization, particularly PC users’ desktops."
2014,"p3695","Abstract","Neurotic people may also keep more desktop files."
2014,"p3695","Abstract","One implication is that systems might be customized for different personalities."
2014,"p3695","Abstract","We also advance personality theory, showing that personal digital artifacts signal personality."
2012,"p1287","Abstract","Our findings were as follows: (1) Finger drawn gestures were quite different to pen drawn gestures in basic measures including size ratio and average speed."
2012,"p1287","Abstract","Finger drawn gestures tended to be larger and faster than pen drawn gestures."
2012,"p1287","Abstract","They also differed in shape geometry as measured by, for example, aperture of closed gestures, corner shape distance and intersecting points deviation; (2) Pen drawn gestures and finger drawn gestures were similar in several measures including articulation time, indicative angle difference, axial symmetry and proportional shape distance; (3) There were interaction effects between gesture implement (finger vs. pen) and target gesture size and gesture complexity."
2012,"p1287","Abstract","Our findings show that half of the features we tested were performed well enough by the finger."
2012,"p1287","Abstract","This finding suggests that “finger friendly” systems should exploit these features when designing finger interfaces and avoid using the other features in which the finger does not perform as well as the pen."
2018,"paper408","Abstract","Interactive feedforward led to improved performance while maintaining intrinsic motivation even when participants were aware of the interventions, and was superior to competing against a virtual competitor."
2012,"p1651","Abstract","We demonstrate that by increasing information access cost, individuals are less likely to omit a required task step."
2012,"p1651","Abstract","This is because they adopt a more memory-intensive strategy, which encourages interleaving at natural boundaries, i.e., after completing the programming of one of the pumps."
2012,"p1651","Abstract","Interleaving during programming can result in task steps being forgotten."
2016,"p5003-zhao","Abstract","We demonstrate the effectiveness of EgoLines in egocentric analysis tasks through a controlled experiment with 18 participants and a use-case developed with a domain expert."
2014,"p1435","Abstract","An online survey revealed that people not only think that display content should be moderated but also that a delay of up to 10 minutes is acceptable if display content is moderated."
2014,"p1435","Abstract","We found that a moderation delay significantly decreases the number of usergenerated posts while at the same time there is no significant effect on users’ decision to repeatedly post on the display."
2016,"p4298-ruoti","Abstract","Participants report being more at ease with this type of study and better able to cope with mistakes since both participants are “on the same page”."
